,title,purpose,total_enrollment,last_update_date,what_you_get,prerequisites,description,five_stars,four_stars,three_stars,two_stars,one_star,description_clean,link,seller,price,original_price,lectures,hours,level
323,Data Lake  Firehose  Glue  Athena  S3 and AWS SDK for  NET,"Leverage AWS Kinesis Data Firehose, AWS Glue, S3, Athena and the AWS SDK to build a Data Lake.",809,3/2020,How to build a Data Lake using Firehose API for  NET  S3  AWS Glue and Athena,Requirements You must have an active AWS Account to utilized the included code  Prior knowledge of AWS Web Services would be helpful  but not needed ,"Description The purpose of this class is to demonstrate a proof of concept using a series of lab exercise's (in the AWS Console using AWS Kinesis Data Firehose, AWS Glue, S3, Athena and the AWS SDK, with C# code using the AWS SDK) of building a Data Lake in the AWS ecosystem. In this class, we will be sending data from a local SQL Server database to AWS RDS securely, and automatically. I am utilizing the .NET SDK for AWS, however, this could easily be migrated to your language of choice once you understand the concepts that I am teaching. I will be providing the full working source code of this proof of concept. I will also provide a working example of creating Parquet files and sending to S3 (without using Firehose). Show more",40%,36%,18%,4%,2%,purpose class demonstrate proof concept using series lab exercise aws console using aws kinesis data firehose aws glue s3 athena aws sdk c code using aws sdk building data lake aws ecosystem class sending data local sql server database aws rds securely automatically utilizing net sdk aws however could easily migrated language choice understand concept teaching providing full working source code proof concept also provide working example creating parquet file sending s3 without using firehose show,https://www.udemy.com/course/data-lake-firehose-glue-athena-s3-and-aws-sdk-for-net/,Darren Cox,13.99,19.99,16,2 ,All Levels
324,Python Pandas Library Full Tutorial,Pandas Library,19235,4/2020,pandas library,Requirements numpy arrays python,"Description pandas is a software library written for the Python programming language for data manipulation and analysis. In particular, it offers data structures and operations for manipulating numerical tables and time series. In this course, you'll learn a lot about this library. Basic knowledge of Numpy is required, as we will perform some tasks using NumPy.  [Note: In this course, we used Jupyter Notebook to write all the codings. in case if you don't have Jupyter Notebook or you don't how to use Jupyter Notebook, you can simply run these codes in any IDE, or even in Python Default IDLE.] Who this course is for: Show more",27%,41%,26%,4%,2%,panda software library written python programming language data manipulation analysis particular offer data structure operation manipulating numerical table time series course learn lot library basic knowledge numpy required perform task using numpy note course used jupyter notebook write coding case jupyter notebook use jupyter notebook simply run code ide even python default idle course show,https://www.udemy.com/course/python-pandas-library/,Diptam Paul,13.99,24.99,32,1 total ,All Levels
325,SQL for Data Analysis  Core Data Scientist s Skills,Learn everything you need to know about SQL and Microsoft SQL Server for successful data science work,4095,2/2019,Write programs in SQL  custom function  loops  and more  Understand math behind SQL statistical functions SQL commands needed for advanced data analysis Ways for importing data with T SQL Connection codes for R  Python  Excel VBA and IBM SPSS Key features of Microsoft SQL Server Management Studio,Requirements Basic knowledge of Windows Understanding programming notions  like  variable  and  function  ,"Description Did you know that the way you learn new things matters the most? The Internet is full of scattered information. There might be even books and courses on the topic you’re interested in. But by picking the wrong book or an ineffective course, you’re at risk of wasting your time, money, and most importantly, falling behind your potential competitors.  This course was created by experts from the Scandinavian Institute of Business Analytics, experts who know what matters and how to teach.  With this course, you’ll learn exactly what skills matter when using SQL for data analysis. You will learn how to use the top-notch technologies available in Microsoft SQL Server, the math behind the statistical functions, how to write your custom functions effectively, transform the data, and connect it with analytics software.  Show more",27%,42%,24%,4%,3%,know way learn new thing matter internet full scattered information might even book course topic interested picking wrong book ineffective course risk wasting time money importantly falling behind potential competitor course created expert scandinavian institute business analytics expert know matter teach course learn exactly skill matter using sql data analysis learn use top notch technology available microsoft sql server math behind statistical function write custom function effectively transform data connect analytics software show,https://www.udemy.com/course/sql-for-data-analysis/,Scandinavian Institute of Business Analytics,13.99,19.99,31,2.5 ,Intermediate
326,Forecasting Models with Excel,Learn main forecasting models and methods from basic to expert level through a practical course with Excel.,1163,6/2018,Estimate simple forecasting methods such as arithmetic mean  random walk  seasonal random walk and random walk with drift  Evaluate simple forecasting methods forecasting accuracy through mean absolute error  root mean squared error scale dependent and mean absolute percentage error  mean absolute scaled error scale independent metrics  Approximate simple moving averages and exponential smoothing methods with no trend or seasonal patterns such as Brown simple exponential smoothing method  Estimate exponential smoothing methods with only trend patterns such as Holt linear trend  exponential trend  Gardner additive damped trend and Taylor multiplicative damped trend methods  Approximate exponential smoothing methods with trend and seasonal patterns such as Holt Winters additive  Holt Winters multiplicative and Holt Winters damped methods  Select exponential smoothing method with lowest Akaike  corrected Akaike and Schwarz Bayesian information loss criteria  Show more,Requirements,"Description Full Course Content Last Update 06/2018 Learn forecasting models through a practical course with Microsoft Excel® using S&P 500® Index ETF prices historical data. It explores main concepts from basic to expert level which can help you achieve better grades, develop your academic career, apply your knowledge at work or do your business forecasting research. All of this while exploring the wisdom of best academics and practitioners in the field. Become a Forecasting Models Expert in this Practical Course with Excel Estimate simple forecasting methods such as arithmetic mean, random walk, seasonal random walk and random walk with drift. Evaluate simple forecasting methods forecasting accuracy through mean absolute error, root mean squared error scale-dependent and mean absolute percentage error, mean absolute scaled error scale-independent metrics. Show more",25%,27%,26%,9%,13%,full course content last update 06 2018 learn forecasting model practical course microsoft excel using p 500 index etf price historical data explores main concept basic expert level help achieve better grade develop academic career apply knowledge work business forecasting research exploring wisdom best academic practitioner field become forecasting model expert practical course excel estimate simple forecasting method arithmetic mean random walk seasonal random walk random walk drift evaluate simple forecasting method forecasting accuracy mean absolute error root mean squared error scale dependent mean absolute percentage error mean absolute scaled error scale independent metric show,https://www.udemy.com/course/forecasting-models-with-excel/,Diego Fernandez,15.99,24.99,42,9.5 ,All Levels
327,Artificial Intelligence for beginners  Neural Networks,Neural Networks: Learn the basics of artificial intelligence & master the core concepts. Learn artificial intelligence,11544,5/2019,Classify massive data sets Understand the core concepts Implement supervised and unsupervised machine learning Predict and classify data automatically Fine tuning to improve the quality of results Learn how to work with it to get better results from complex data Real world examples to illustrate the power of neural network models,Requirements Desire to learn new things Basic knowledge about data sets,"Description Artificial Intelligence is becoming progressively more relevant in today's world. The rise of Artificial intelligence has the potential to transform our future more than any other technology. By using the power of algorithms, you can develop applications which intelligently interact with the world around you, from building intelligent recommender systems to creating self-driving cars, robots and chatbots. Neural networks are a key element of artificial intelligence. Neural networks are one of the most fascinating machine learning models and are used to solve wide range of problems in different areas of artificial intelligence and machine learning. Yet too few really understand how neural networks actually work. This course will take you on a fun and unhurried journey, starting from very simple ideas, and gradually building up an understanding of how neural networks work. The purpose of this course is to make neural networks accessible to as many students as possible. In this course I’m going to explain the key aspects of neural networks and provide you with a foundation to get started with advanced topics. You will build a solid foundation knowledge of how a neural network learns from data, and the principles behind it. You will not only learn how to train neural networks, but will also explore generalization of these networks. Later we will delve into combining different neural network models and work with the real-world use cases. You’ll understand how to solve complex computational problems efficiently.  Show more",28%,22%,32%,9%,9%,artificial intelligence becoming progressively relevant today world rise artificial intelligence potential transform future technology using power algorithm develop application intelligently interact world around building intelligent recommender system creating self driving car robot chatbots neural network key element artificial intelligence neural network one fascinating machine learning model used solve wide range problem different area artificial intelligence machine learning yet really understand neural network actually work course take fun unhurried journey starting simple idea gradually building understanding neural network work purpose course make neural network accessible many student possible course going explain key aspect neural network provide foundation get started advanced topic build solid foundation knowledge neural network learns data principle behind learn train neural network also explore generalization network later delve combining different neural network model work real world use case understand solve complex computational problem efficiently show,https://www.udemy.com/course/neural-networks-concepts/,Hayley   Creative Mind Ch,13.99,19.99,9,1 total ,All Levels
328,Data Science   Machine Learning Theory Projects A Z 90 HOURS,"Data Science Python-Learn Statistics for Data Science, Machine Learning for Data Science, Deep Learning for Data Science",2092,11/2021,Key data science and machine learning concepts right from the beginning with a complete unfolding with examples in Python  Essential Concepts and Algorithms in Machine Learning Python for Data Science and Data Analysis Data Understanding and Data Visualization with Python Probability and Statistics in Python Feature Engineering and Dimensionality Reduction with Python Artificial Neural Networks with Python Convolutional Neural Networks with Python Recurrent Neural Networks with Python Detailed Explanation and Live Coding with Python Show more,Requirements   No prior knowledge is needed  You will start with the basic concepts and gradually build your knowledge of the subject    Enthusiasm and willingness to learn and practice ,"Description  Comprehensive Course Description: Electrification was, without a doubt, the greatest engineering marvel of the 20th century. The electric motor was invented way back in 1821, and the electrical circuit was mathematically analyzed in 1827. But factory electrification, household electrification, and railway electrification all started slowly several decades later. Fast forward to today. It’s the same story with Artificial Intelligence (AI). The field of AI was formally founded in 1956. But it’s only now—more than six decades later—that AI is expected to revolutionize the way humanity will live and work in the coming decades. Data science is a large field of study that covers data systems and processes. These systems and processes are aimed at maintaining data sets as well as getting meaning out of them. Machine Learning (ML), a branch of AI, is the concept that systems can automatically learn and adapt from experience without human intervention. ML, essentially, aims to equip machines with independent learning techniques.      Show more",54%,29%,11%,2%,4%,comprehensive course description electrification without doubt greatest engineering marvel 20th century electric motor invented way back 1821 electrical circuit mathematically analyzed 1827 factory electrification household electrification railway electrification started slowly several decade later fast forward today story artificial intelligence ai field ai formally founded 1956 six decade later ai expected revolutionize way humanity live work coming decade data science large field study cover data system process system process aimed maintaining data set well getting meaning machine learning ml branch ai concept system automatically learn adapt experience without human intervention ml essentially aim equip machine independent learning technique show,https://www.udemy.com/course/data-science-machine-learningtheoryprojectsa-z-90-hours/,AI Sciences  AI Sciences Team,13.99,84.99,725,94 ,All Levels
329,Web Scraping in Python With BeautifulSoup and Selenium 2021,The most up to date and project based Web Scraping course in Python using BeautifulSoup and Selenium!,975,1/2021,Understanding the fundamentals of Web Scraping Build your own web scraping projects Learn core components of two of the most powerful scraping libraries  BeautifulSoup and Selenium How to click on a button  send text to an input box  and self scroll using Selenium Scraping data off of single page  multiple page  and infinite scrolling websites 5 projects each with it s own unique challenge Automate python scripts Understand HTML and Xpath selectors,Requirements Beginners knowledge of Python Internet Access,"Description Web Scraping has become one of the hottest topics in the data science world, for getting access to data can make or break you. This is why Fortune 500 companies like Walmart, CNN, Target, and Amazon use web scraping to get ahead and stay ahead with data. It’s the original growth tool and one of their best-kept secrets  …And it can easily be yours too.  Welcome to Web Scraping in Python with BeautiuflSoup and Selenium!         Show more",62%,28%,8%,1%,1%,web scraping become one hottest topic data science world getting access data make break fortune 500 company like walmart cnn target amazon use web scraping get ahead stay ahead data original growth tool one best kept secret easily welcome web scraping python beautiuflsoup selenium show,https://www.udemy.com/course/web-scraping-in-python-with-beautifulsoup-and-selenium/,Christopher Zita,13.99,84.99,73,9.5 ,All Levels
330,Build Neural Networks In Seconds Using Deep Learning Studio,Develop Keras / TensorFlow Deep Learning Models Using A GUI And Without Knowing Python Or Machine Learning,564,1/2019,How To Build Deep Neural Networks In Seconds Using Deep Learning Studio  Rapidly Build And Visualise Neural Networks Without Programming Skills  How To Understand Neural Networks Without Math Formulas  How To Build Neural Networks Without Programming  How To Deploy Machine Learning Models Built Using Deep Learning Studio  Understand Normalization Without Heavy Math Or Complicated Technical Explanations  Understand Dropout Without Heavy Math Or Complicated Technical Explanations  How To Download Neural Network Models Built In Deep Learning Studio As Python   Keras   TensorFlow Script  Learn Practical Information On Developing Artificial Neural Networks  Data Collection  And Creating Robust Models ,Requirements Interest In Machine Learning And Neural Networks  Interest Or Curiosity About Data Science ,"Description In this course you will Machine Learning And Neural Networks easily. We will develop Keras / TensorFlow Deep Learning Models using  GUI and without knowing Python or programming. If you are a python programmer, in this course you will learn a much easier and faster way to develop and deploy Keras / TensorFlow machine learning models. You will learn about important machine learning concepts such as datasets, test set splitting, deep neural networks, normailzation, dropout, artificial networks, neural network models, hyperparameters, WITHOUT hard and boring technical explanations or math formulas, or follow along code. Instead, you will learn these concepts from practical and easy to follow along teaching methods. In this course, Deep Learning Studio will produce all the python code for you in the backend, and you never even have to even look at it (unless of course you want to). By the end of this course you will be able to build, train and deploy deep learning AI models without having to do any coding. Show more",41%,31%,16%,7%,5%,course machine learning neural network easily develop kera tensorflow deep learning model using gui without knowing python programming python programmer course learn much easier faster way develop deploy kera tensorflow machine learning model learn important machine learning concept datasets test set splitting deep neural network normailzation dropout artificial network neural network model hyperparameters without hard boring technical explanation math formula follow along code instead learn concept practical easy follow along teaching method course deep learning studio produce python code backend never even even look unless course want end course able build train deploy deep learning ai model without coding show,https://www.udemy.com/course/build-neural-networks-in-seconds-using-deep-learning-studio/,Michael Kroeker,13.99,84.99,43,3 ,All Levels
331,Data Visualization in Python for Machine Learning Engineers,The Third Course in a Series for Mastering Python for Machine Learning Engineers,10245,7/2021,You ll learn Matplotlib and Seaborn and have a solid understanding of how they are used in applied machine learning  You ll work through hands on labs that will test the skills you learned in the lessons  You ll learn all the Python vernacular specific to data visualization you need to take you skills to the next level  You ll be on your way to becoming a real world machine learning engineer or data engineer ,Requirements You ve completed the first two courses in the series  A desire to learn Python  A basic understanding of machine learning would be beneficial ,Description Welcome to Data Visualization in Python for Machine learning engineers. This is the third course in a series designed to prepare you for becoming a machine learning engineer.  I'll keep this updated and list only the courses that are live.  Here is a list of the courses that can be taken right now.  Please take them in order. The knowledge builds from course to course.  The Complete Python Course for Machine Learning Engineers  Data Wrangling in Pandas for Machine Learning Engineers  Data Visualization in Python for Machine Learning Engineers (This one)  The second course in the series is about Data Wrangling. Please take the courses in order. The knowledge builds from course to course in a serial nature. Without the first course many students might struggle with this one.  Show more,38%,38%,20%,2%,2%,welcome data visualization python machine learning engineer third course series designed prepare becoming machine learning engineer keep updated list course live list course taken right please take order knowledge build course course complete python course machine learning engineer data wrangling panda machine learning engineer data visualization python machine learning engineer one second course series data wrangling please take course order knowledge build course course serial nature without first course many student might struggle one show,https://www.udemy.com/course/data-visualization-in-python-for-machine-learning-engineers/,Mike West,14.99,19.99,63,1 total ,Intermediate
332,Essential Fundamentals of R,"Data Types and Structures in R , Inputting & Outputting Data, Writing User-Defined Functions, and Manipulating Data Sets",1768,7/2020,Install R and RStudio and engage in a basic R session Understand the characteristics of different data types and structures in R Be able to read in data and write out data files from various sources Sort  select  filter  subset  and manipulate tables of data in R Create and execute their own user defined functions in an R session Understand how to use the apply   family of functions to execute various actions against different R data structures Know how to use reshaping and recoding  short cuts  for changing data types and for rearranging data structures ,Requirements Students will need to install both R software and RStudio  instructions are provided ,"Description Essential Fundamentals of R is an integrated program that draws from a variety of introductory topics and courses to provide participants with a solid base of knowledge with which to use R software for any intended purpose. No statistical knowledge, programming knowledge, or experience with R software is necessary. Essential Fundamentals of R (7 sessions) covers those important introductory topics basic to using R functions and data objects for any purpose: installing R and RStudio; interactive versus batch use of R; reading data and datasets into R; essentials of scripting; getting help in R; primitive data types; important data structures; using functions in R; writing user-defined functions; the 'apply' family of functions in R; data set manipulation: and subsetting, and row and column selection. Most sessions present ""hands-on"" material that demonstrate the execution of R 'scripts' (sets of commands) and utilize many extended examples of R functions, applications, and packages for a variety of common purposes. RStudio, a popular, open source Integrated Development Environment (IDE) for developing and using R applications, is also utilized in the program, supplemented with R-based direct scripts (e.g. 'command-line prompts') when necessary. Show more",39%,41%,15%,4%,1%,essential fundamental r integrated program draw variety introductory topic course provide participant solid base knowledge use r software intended purpose statistical knowledge programming knowledge experience r software necessary essential fundamental r 7 session cover important introductory topic basic using r function data object purpose installing r rstudio interactive versus batch use r reading data datasets r essential scripting getting help r primitive data type important data structure using function r writing user defined function apply family function r data set manipulation subsetting row column selection session present hand material demonstrate execution r script set command utilize many extended example r function application package variety common purpose rstudio popular open source integrated development environment ide developing using r application also utilized program supplemented r based direct script e g command line prompt necessary show,https://www.udemy.com/course/essential-fundamentals-of-r/,Geoffrey Hubona  Ph D ,13.99,84.99,46,10.5 ,Beginner
333,Data Science for Professionals,It's time to leave spreadsheets behind...,6580,11/2018,Students will be able to analyze  manipulate  explore  illustrate  and report data in ways that will set them far apart from those who use spreadsheets and other traditional Office products ,Requirements No prior coding knowledge required,"Description What is it? Data Science for Professionals is simply the best way to gain a in-depth and practical skill set in data science. Through a combination of theory and hands-on practice, course participants will gain a solid grasp of how to manage, manipulate, and visualize data in R - the world's most popular data science language.  Who should take this course? This course is for professionals who are tired of using spreadsheets for analysis and have a serious interest in learning how to use code to improve the quality and efficiency of their work. At the end of this course, participants will have a developed a solid foundation of the fundamentals of the R language. Participants will have also gained a perspective on the modern data science landscape and how they can use R not only to better analyze data, but also to better manage projects, create interactive presentations, and collaborate with other teams.   Show more",33%,45%,21%,0%,1%,data science professional simply best way gain depth practical skill set data science combination theory hand practice course participant gain solid grasp manage manipulate visualize data r world popular data science language take course course professional tired using spreadsheet analysis serious interest learning use code improve quality efficiency work end course participant developed solid foundation fundamental r language participant also gained perspective modern data science landscape use r better analyze data also better manage project create interactive presentation collaborate team show,https://www.udemy.com/course/data-science-for-professionals/,Gregory Sward,13.99,84.99,33,6.5 ,Beginner
334,Image Recognition with Neural Networks From Scratch,Write An Image Recognition Program in Python,9630,1/2020,Write a Python program that recognizes images from scratch without using any libraries  Understand A Neural Network is  Understand some important mathematical prerequisites such as functions and their computational graphs  Understand conceptually what a derivative and a gradient is to fully appreciate the Gradient Descent Algorithm  Understand the Gradient Descent Algorithm  the central algorithm in machine learning with Neural Networks  Understand Backpropagation and its importance in computing gradients  Be able to implement the full Python program in 50 lines of code that recognizes images ,Requirements,"Description This is an introduction to Neural Networks. The course explains the math behind Neural Networks in the context of image recognition. By the end of the course, we will have written a program in Python that recognizes images without using any autograd libraries. The only prerequisite is some high school precalculus. Although the prerequisite is minimal, we will discuss many advanced topics including: 1) functions and their computational graphs. 2) neural networks 3) conceptually understand the derivative and the gradient. 4) gradient descent and backpropagation 5) the multivariable chain rule  Show more",37%,38%,19%,4%,2%,introduction neural network course explains math behind neural network context image recognition end course written program python recognizes image without using autograd library prerequisite high school precalculus although prerequisite minimal discus many advanced topic including 1 function computational graph 2 neural network 3 conceptually understand derivative gradient 4 gradient descent backpropagation 5 multivariable chain rule show,https://www.udemy.com/course/image-recognition-with-neural-networks-from-scratch/,Long Nguyen,13.99,59.99,7,3 ,All Levels
335,SQL for Tech and Data Science Interviews,Do you want to ace your SQL tech or data science interview? This Is the perfect resource for you!,1630,6/2021,Build a winning strategy for the tech data science interview How to focus on mock interviews A guided walkthrough to a set of interview questions Work on your communication skills and interview style Tina s 5 step framework to acing your SQL interview Know what SQL interviewers want to hear from you Anticipate follow up questions Be able to demonstrate how you think and reason Reduce interview stress by doing the 10 mock interviews provided in the course,Requirements Intro to SQL covered  This is not an Intro to SQL course ,"Description You want to make sure you are ready for your tech/data science interview? Do you want to learn from an instructor who works for one of the FAANG companies? Great! Perhaps it was chance that brought you here, but now that you have found this resource, you are a step closer to building a deliberate strategy. You will learn how to focus on doing mock interviews with real interview questions and in a real interview style. Please bear in mind that this is not an Intro to SQL course that goes in depth about every single concept and function available for you to work with. Instead, this is a resource that will help you ace the job interview and get hired, provided that you have already learned the SQL basics. If you are looking for a guided walkthrough and coaching through 10 mock interviews – this is the right course for you. Show more",61%,29%,8%,2%,0%,want make sure ready tech data science interview want learn instructor work one faang company great perhaps chance brought found resource step closer building deliberate strategy learn focus mock interview real interview question real interview style please bear mind intro sql course go depth every single concept function available work instead resource help ace job interview get hired provided already learned sql basic looking guided walkthrough coaching 10 mock interview right course show,https://www.udemy.com/course/sql-for-tech-and-data-science-interviews/,365 Careers  Tina Huang,13.99,84.99,23,2.5 ,All Levels
336,Statistics with R   Advanced Level,Advanced statistical analyses using the R program,27764,12/2020,perform the analysis of covariance run the one way within subjects analysis of variance run the two way within subjects analysis of variance run the mixed analysis of variance perform the non parametric Friedman test execute the binomial logistic regression run the multinomial logistic regression perform the ordinal logistic regression perform the multidimensional scaling perform the principal component analysis and the factor analysis run the simple and multiple correspondence analysis run the cluster analysis  k means and hierarchical  Show more,Requirements R and R studio knowledge of advanced statistics,"Description If you want to learn how to perform real advanced statistical analyses in the R program, you have come to the right place. Now you don’t have to scour the web endlessly in order to find how to do an analysis of covariance or a mixed analysis of variance, how to execute a binomial logistic regression, how to perform a multidimensional scaling or a factor analysis. Everything is here, in this course, explained visually, step by step. So, what’s covered in this course? First of all, we are going to study some more techniques to evaluate the mean differences. If you took the intermediate course- which I highly recommend you – you learned about the t tests and the between-subjects analysis of variance. Now we will go to the next level and tackle the analysis of covariance, the within-subjects analysis of variance and the mixed analysis of variance. Show more",43%,39%,12%,3%,3%,want learn perform real advanced statistical analysis r program come right place scour web endlessly order find analysis covariance mixed analysis variance execute binomial logistic regression perform multidimensional scaling factor analysis everything course explained visually step step covered course first going study technique evaluate mean difference took intermediate course highly recommend learned test subject analysis variance go next level tackle analysis covariance within subject analysis variance mixed analysis variance show,https://www.udemy.com/course/statistics-with-r-advanced-level/,Bogdan Anastasiei,13.99,49.99,37,4.5 ,Expert
337,Python Regression Analysis  Statistics   Machine Learning,Learn Complete Hands-On Regression Analysis for Practical Statistical Modelling and Machine Learning in Python,1723,11/2021,Harness The Power Of Anaconda iPython For Practical Data Science Read In Data Into The Python Environment From Different Sources Implement Classical Statistical Regression Modelling Techniques Such As Linear Regression In Python Implement Machine Learning Based Regression Modelling Techniques Such As Random Forests   kNN For Predictive Modelling Neural Network   Deep Learning Based Regression,Requirements Be Able To Operate   Install Software On A Computer Have Prior Exposure To Common Machine Learning Terms Such As Regression Modelling   Supervised Learning,"Description HERE IS WHY YOU SHOULD ENROLL IN THIS COURSE: Regression analysis is one of the central aspects of both statistical and machine learning based analysis. This course will teach you regression analysis for both statistical data analysis and machine learning in Python in a practical hands-on manner.  It explores the relevant concepts  in a practical manner from basic to expert level. This course can help you achieve better grades, give you new analysis tools for your academic career, implement your knowledge in a work setting & make business forecasting related decisions...All of this while exploring the wisdom of an Oxford and Cambridge educated researcher. Most statistics and machine learning courses and books only touch upon the basic aspects of regression analysis. Show more",59%,20%,13%,6%,2%,enroll course regression analysis one central aspect statistical machine learning based analysis course teach regression analysis statistical data analysis machine learning python practical hand manner explores relevant concept practical manner basic expert level course help achieve better grade give new analysis tool academic career implement knowledge work setting make business forecasting related decision exploring wisdom oxford cambridge educated researcher statistic machine learning course book touch upon basic aspect regression analysis show,https://www.udemy.com/course/python-regression-analysis-statistics-machine-learning/,Minerva Singh,15.99,99.99,53,6.5 ,All Levels
338,Machine Learning   Training Neural Network in MATLAB,Machine Learning | Learn concepts of Machine Learning and how to train a Neural Network in MATLAB on Iris data-set.,7479,4/2018,Students enrolled will be able yo learn basic concepts of Machine Learning and Train neural networks in MATLAB,Requirements MATLAB Software English Language,"Description Machine Learning is the most evolving branch of Artificial Intelligence. Through this course, you will get a basic understanding of Machine Learning and Neural Networks. You will also learn to train a Neural Network in MATLAB on Iris data-set available on UCI Machine Learning repository. The data set is simple and easy to understand and also small in size.  MATLAB  is a multi-paradigm numerical computing environment.. Who this course is for: Anyone who is interested in learning basic concepts of Machine Learning and Neural networks",24%,30%,26%,10%,10%,machine learning evolving branch artificial intelligence course get basic understanding machine learning neural network also learn train neural network matlab iris data set available uci machine learning repository data set simple easy understand also small size matlab multi paradigm numerical computing environment course anyone interested learning basic concept machine learning neural network,https://www.udemy.com/course/machine-learning-training-neural-network-in-matlab/,Sarthak Mishra,13.99,24.99,6,1.5 ,Beginner
339,Machine Learning In The Cloud With Azure Machine Learning,Introduction to machine learning in the cloud with Azure Machine Learning.,5338,2/2019,Learn about Azure Machine Learning Learn about various machine learning algorithms supported by Azure Machine Learning Learn how to build and run a machine learning experiment with real world datasets Learn how to use classification machine learning algorithms Learn how to use regression machine learning algorithms Learn how to expose the Azure ML machine learning experiment as a web service or API Learn how to integrate the Azure ML machine learning experiment API with a web application,Requirements Access to a free or paid account for Azure Basic knowledge about cloud computing and data science Basic knowledge about IT infrastructure setup Desire to learn something new and continuous improvement,"Description The history of data science, machine learning, and artificial Intelligence is long, but it’s only recently that technology companies - both start-ups and tech giants across the globe have begun to get excited about it… Why? Because now it works. With the arrival of cloud computing and multi-core machines - we have enough compute capacity at our disposal to churn large volumes of data and dig out the hidden patterns contained in these mountains of data. This technology comes in handy, especially when handling Big Data. Today, companies collect and accumulate data at massive, unmanageable rates for website clicks, credit card transactions, GPS trails, social media interactions, and so on. And it is becoming a challenge to process all the valuable information and use it in a meaningful way. This is where machine learning algorithms come into the picture. These algorithms use all the collected “past” data to learn patterns and predict results or insights that help us make better decisions backed by actual analysis.                                    Show more",45%,33%,18%,3%,1%,history data science machine learning artificial intelligence long recently technology company start ups tech giant across globe begun get excited work arrival cloud computing multi core machine enough compute capacity disposal churn large volume data dig hidden pattern contained mountain data technology come handy especially handling big data today company collect accumulate data massive unmanageable rate website click credit card transaction gps trail social medium interaction becoming challenge process valuable information use meaningful way machine learning algorithm come picture algorithm use collected past data learn pattern predict result insight help u make better decision backed actual analysis show,https://www.udemy.com/course/machine-learning-in-the-cloud-with-azure-machine-learning/,TetraNoodle Team  Manuj Aggarwal,13.99,84.99,35,3 ,Beginner
340,Clustering   Classification With Machine Learning In R,Harness The Power Of Machine Learning For Unsupervised & Supervised Learning In R -- With Practical Examples,1832,10/2021,Be Able To Harness The Power Of R For Practical Data Science Read In Data Into The R Environment From Different Sources Carry Out Basic Data Pre processing   Wrangling In R Studio Implement Unsupervised Clustering Techniques Such As k means Clustering Implement Dimensional Reduction Techniques  PCA    Feature Selection Implement Supervised Learning Techniques Classification Such As Random Forests Evaluate Model Performance   Learn The Best Practices For Evaluating Machine Learning Model Accuracy,Requirements Should Be Able To Operate   Install Software On A Computer Prior Exposure To Common Machine Learning Terms Such As Unsupervised   Supervised Learning,"Description HERE IS WHY YOU SHOULD TAKE THIS COURSE: This course your complete guide to both supervised & unsupervised learning using R... That means, this course covers all the main aspects of practical data science and if you take this course, you can do away with taking other courses or buying books on R based data science.  In this age of big data, companies across the globe use R to sift through the avalanche of information at their disposal. By becoming proficient in unsupervised & supervised learning in R, you can give your company a competitive edge and boost your career to the next level. LEARN FROM AN EXPERT DATA SCIENTIST WITH +5 YEARS OF EXPERIENCE: My name is Minerva Singh and I am an Oxford University MPhil (Geography and Environment) graduate. I recently finished a PhD at Cambridge University. Show more",62%,23%,9%,5%,1%,take course course complete guide supervised unsupervised learning using r mean course cover main aspect practical data science take course away taking course buying book r based data science age big data company across globe use r sift avalanche information disposal becoming proficient unsupervised supervised learning r give company competitive edge boost career next level learn expert data scientist 5 year experience name minerva singh oxford university mphil geography environment graduate recently finished phd cambridge university show,https://www.udemy.com/course/clustering-classification-with-machine-learning-in-r/,Minerva Singh,13.99,84.99,70,8 ,All Levels
341,Data Science A Z   Machine Learning with Python   R,By Data Scientist / IITian for Beginners . Data Science/Machine Learning with Python & R for beginners to advance,665,3/2020,Data Science   Machine Learning How to do machine learning in Python   R How to do Data Manipulation   Preprocessing How to Create Data Visualizations Use Python   R for Data Analysis,Requirements No Prerequisite,"Description Interested in the field of Data Science & Machine Learning? Then this course is for you!  Learn Data Science & Machine Learning by doing! Hands On Experience  Data Scientist has been ranked the number one job on Glassdoor and the average salary of a data scientist is over $120,000 in the United States according to Indeed!  Data Science is a rewarding career that allows you to solve some of the world's most interesting problems! This course is designed for both complete beginners with no programming experience or experienced developers looking to make the jump to Data Science! This course is for those  :                      Show more",44%,29%,17%,6%,4%,interested field data science machine learning course learn data science machine learning hand experience data scientist ranked number one job glassdoor average salary data scientist 120 000 united state according indeed data science rewarding career allows solve world interesting problem course designed complete beginner programming experience experienced developer looking make jump data science course show,https://www.udemy.com/course/machine-learning-using-r/,Arpan Gupta,13.99,19.99,90,12.5 ,All Levels
